X,Y,REGION,COMUNA,LAT,LNG,Año,Fecha,Tipo_Accdt,Causa,Fallecidos,Graves,Menos_Grav,Leves,Hora,,,,,,,,,,,,,,,,,,,,
-70.1480139,-20.2273588,REGION TARAPACA,IQUIQUE,-20.2273588,-70.1480139,2018,2018/05/11 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,07:12:00,,,,,,,,,,,,,,,,,,,,
-70.1387314,-20.2304174,REGION TARAPACA,IQUIQUE,-20.2304174,-70.1387314,2018,2018/05/13 00:00:00+00,CHOQUE FRENTE/LADO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,08:00:00,,,,,,,,,,,,,,,,,,,,
-70.1303701,-20.2330169,REGION TARAPACA,IQUIQUE,-20.2330169,-70.1303701,2018,2018/05/13 00:00:00+00,CHOQUE FRONTAL,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,08:30:00,,,,,,,,,,,,,,,,,,,,
-70.1393996,-20.2199419,REGION TARAPACA,IQUIQUE,-20.2199419,-70.1393996,2018,2018/05/13 00:00:00+00,COLISION POR ALCANCE,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,0,0,0,17:10:00,,,,,,,,,,,,,,,,,,,,
-70.1370139,-20.2284457,REGION TARAPACA,IQUIQUE,-20.2284457,-70.1370139,2018,2018/05/13 00:00:00+00,CHOQUE FRENTE/POSTERIOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,17:30:00,,,,,,,,,,,,,,,,,,,,
-70.0992234,-20.2680481,REGION TARAPACA,ALTO HOSPICIO,-20.2680481,-70.0992234,2018,2018/05/13 00:00:00+00,COLISION,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,2,18:20:00,,,,,,,,,,,,,,,,,,,,
-70.1257647,-20.2442983,REGION TARAPACA,IQUIQUE,-20.2442983,-70.1257647,2018,2018/05/13 00:00:00+00,CHOQUE LATERAL,CONDUCCION EN ESTADO DE EBRIEDAD,0,0,0,0,03:30:00,,,,,,,,,,,,,,,,,,,,
-70.14459,-20.239015,REGION TARAPACA,IQUIQUE,-20.239015,-70.14459,2018,2018/05/14 00:00:00+00,CHOQUE LATERAL,"FALLAS MECANICAS, NEUMATICOS",0,0,0,0,17:05:00,,,,,,,,,,,,,,,,,,,,
-70.1524706,-20.2120381,REGION TARAPACA,IQUIQUE,-20.2120381,-70.1524706,2018,2018/05/14 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER SEÑAL CEDA EL PASO",0,0,0,1,13:30:00,,,,,,,,,,,,,,,,,,,,
-70.1337646,-20.2572701,REGION TARAPACA,IQUIQUE,-20.2572701,-70.1337646,2018,2018/05/15 00:00:00+00,ATROPELLO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,1,08:20:00,,,,,,,,,,,,,,,,,,,,
-70.1503467,-20.2174291,REGION TARAPACA,IQUIQUE,-20.2174291,-70.1503467,2018,2018/05/15 00:00:00+00,CHOQUE FRENTE/LADO,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,0,0,0,11:40:00,,,,,,,,,,,,,,,,,,,,
-70.149352,-20.2243124,REGION TARAPACA,IQUIQUE,-20.2243124,-70.149352,2018,2018/05/15 00:00:00+00,COLISION LATERAL,"SEÑALIZACION, DESOBEDECER SEÑAL PARE",0,0,0,1,11:30:00,,,,,,,,,,,,,,,,,,,,
